modelName,modelId,providerName,inputModalities,outputModalities,responseStreamingSupported,customizationsSupported,inferenceTypesSupported,modelLifecycle.status
Embed Multilingual,cohere.embed-multilingual-v3,Cohere,TEXT,EMBEDDING,False,,ON_DEMAND,ACTIVE
Rerank 3.5,cohere.rerank-v3-5:0,Cohere,TEXT,TEXT,False,,ON_DEMAND,ACTIVE
DeepSeek-R1,deepseek.r1-v1:0,DeepSeek,TEXT,TEXT,True,,INFERENCE_PROFILE,ACTIVE
Llama 3 8B Instruct,meta.llama3-8b-instruct-v1:0,Meta,TEXT,TEXT,True,,ON_DEMAND,ACTIVE
Llama 3 70B Instruct,meta.llama3-70b-instruct-v1:0,Meta,TEXT,TEXT,True,,ON_DEMAND,ACTIVE
Llama 3.1 8B Instruct,meta.llama3-1-8b-instruct-v1:0:128k,Meta,TEXT,TEXT,True,FINE_TUNING|DISTILLATION,PROVISIONED,ACTIVE
Llama 3.1 8B Instruct,meta.llama3-1-8b-instruct-v1:0,Meta,TEXT,TEXT,True,,ON_DEMAND|INFERENCE_PROFILE,ACTIVE
Llama 3.1 70B Instruct,meta.llama3-1-70b-instruct-v1:0:128k,Meta,TEXT,TEXT,True,FINE_TUNING|DISTILLATION,PROVISIONED,ACTIVE
Llama 3.1 70B Instruct,meta.llama3-1-70b-instruct-v1:0,Meta,TEXT,TEXT,True,,ON_DEMAND|INFERENCE_PROFILE,ACTIVE
Llama 3.1 405B Instruct,meta.llama3-1-405b-instruct-v1:0,Meta,TEXT,TEXT,True,,ON_DEMAND,ACTIVE
Llama 3.2 11B Instruct,meta.llama3-2-11b-instruct-v1:0:128k,Meta,TEXT|IMAGE,TEXT,True,FINE_TUNING,PROVISIONED,ACTIVE
Llama 3.2 11B Instruct,meta.llama3-2-11b-instruct-v1:0,Meta,TEXT|IMAGE,TEXT,True,,INFERENCE_PROFILE,ACTIVE
Llama 3.2 90B Instruct,meta.llama3-2-90b-instruct-v1:0:128k,Meta,TEXT|IMAGE,TEXT,True,FINE_TUNING,PROVISIONED,ACTIVE
Llama 3.2 90B Instruct,meta.llama3-2-90b-instruct-v1:0,Meta,TEXT|IMAGE,TEXT,True,,INFERENCE_PROFILE,ACTIVE
Llama 3.2 1B Instruct,meta.llama3-2-1b-instruct-v1:0:128k,Meta,TEXT,TEXT,True,FINE_TUNING|DISTILLATION,PROVISIONED,ACTIVE
Llama 3.2 1B Instruct,meta.llama3-2-1b-instruct-v1:0,Meta,TEXT,TEXT,True,,INFERENCE_PROFILE,ACTIVE
Llama 3.2 3B Instruct,meta.llama3-2-3b-instruct-v1:0:128k,Meta,TEXT,TEXT,True,FINE_TUNING|DISTILLATION,PROVISIONED,ACTIVE
Llama 3.2 3B Instruct,meta.llama3-2-3b-instruct-v1:0,Meta,TEXT,TEXT,True,,INFERENCE_PROFILE,ACTIVE
Llama 3.3 70B Instruct,meta.llama3-3-70b-instruct-v1:0,Meta,TEXT,TEXT,True,,INFERENCE_PROFILE,ACTIVE
Llama 4 Scout 17B Instruct,meta.llama4-scout-17b-instruct-v1:0,Meta,TEXT|IMAGE,TEXT,True,,INFERENCE_PROFILE,ACTIVE
Llama 4 Maverick 17B Instruct,meta.llama4-maverick-17b-instruct-v1:0,Meta,TEXT|IMAGE,TEXT,True,,INFERENCE_PROFILE,ACTIVE
Mistral 7B Instruct,mistral.mistral-7b-instruct-v0:2,Mistral AI,TEXT,TEXT,True,,ON_DEMAND,ACTIVE
Mixtral 8x7B Instruct,mistral.mixtral-8x7b-instruct-v0:1,Mistral AI,TEXT,TEXT,True,,ON_DEMAND,ACTIVE
Mistral Large (24.02),mistral.mistral-large-2402-v1:0,Mistral AI,TEXT,TEXT,True,,ON_DEMAND,ACTIVE
Mistral Large (24.07),mistral.mistral-large-2407-v1:0,Mistral AI,TEXT,TEXT,True,,ON_DEMAND,ACTIVE
Pixtral Large (25.02),mistral.pixtral-large-2502-v1:0,Mistral AI,TEXT|IMAGE,TEXT,True,,INFERENCE_PROFILE,ACTIVE
Ray v2,luma.ray-v2:0,Luma AI,TEXT,VIDEO,False,,ON_DEMAND,ACTIVE
Palmyra X4,writer.palmyra-x4-v1:0,Writer,TEXT,TEXT,True,,INFERENCE_PROFILE,ACTIVE
Palmyra X5,writer.palmyra-x5-v1:0,Writer,TEXT,TEXT,True,,INFERENCE_PROFILE,ACTIVE
